Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,Population,SP.POP.TOTL,54208,55435,56226,56697,57029,57360,57712,58049,58385,58724,59065,59438,59849,60239,60525,60655,60589,60366,60106,59978,60096,60567,61344,62204,62831,63028,62644,61835,61077,61032,62148,64623,68235,72498,76700,80326,83195,85447,87276,89004,90858,92894,94995,97015,98742,100031,100830,101218,101342,101416,101597,101936,102393,102921,103441
Afghanistan,AFG,Population,SP.POP.TOTL,8994793,9164945,9343772,9531555,9728645,9935358,10148841,10368600,10599790,10849510,11121097,11412821,11716896,12022514,12315553,12582954,12831361,13056499,13222547,13283279,13211412,12996923,12667001,12279095,11912510,11630498,11438949,11337932,11375768,11608351,12067570,12789374,13745630,14824371,15869967,16772522,17481800,18034130,18511480,19038420,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506
Angola,AGO,Population,SP.POP.TOTL,5270844,5367287,5465905,5565808,5665701,5765025,5863568,5962831,6066094,6177703,6300969,6437645,6587647,6750215,6923749,7107334,7299508,7501320,7717139,7952882,8211950,8497950,8807511,9128655,9444918,9745209,10023700,10285712,10544904,10820992,11127870,11472173,11848971,12246786,12648483,13042666,13424813,13801868,14187710,14601983,15058638,15562791,16109696,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524
Albania,ALB,Population,SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2904780,2900247,2896652,2893654
Andorra,AND,Population,SP.POP.TOTL,13414,14376,15376,16410,17470,18551,19646,20755,21888,23061,24279,25560,26892,28231,29514,30706,31781,32769,33746,34819,36063,37502,39112,40862,42704,44597,46515,48458,50431,52449,54511,56674,58904,61003,62707,63854,64291,64147,63888,64161,65399,67770,71046,74783,78337,81223,83373,84878,85616,85474,84419,82326,79316,75902,72786
Arab World,ARB,Population,SP.POP.TOTL,92540534,95077992,97711191,100439395,103263656,106184090,109210743,112342573,115557094,118823872,122128175,125439089,128801209,132298955,136044481,140114424,144542039,149296257,154303887,159455867,164670713,169926632,175237742,180606318,186005735,191564251,197202142,202851923,208546282,214250542,222117305,228171034,232417246,238628852,244893420,252591048,258423164,264153948,269795252,275503565,281326250,287291826,293402563,299731956,306387415,313430911,320906736,328766559,336886468,345054176,353112237,361031820,368802611,376504253,384222592
United Arab Emirates,ARE,Population,SP.POP.TOTL,92612,100985,112240,125216,138220,150318,161077,171781,185312,205570,235434,275160,324069,382823,451948,531265,622051,722849,827394,927303,1016789,1093108,1158477,1218223,1280278,1350433,1430548,1518991,1613904,1712117,1811458,1913190,2019014,2127863,2238281,2350192,2467726,2595220,2733770,2884188,3050128,3217865,3394060,3625798,3975945,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542,9039978,9086139
Argentina,ARG,Population,SP.POP.TOTL,20619075,20953079,21287682,21621845,21953926,22283389,22608747,22932201,23261273,23605992,23973062,24366442,24782950,25213388,25644505,26066975,26477153,26878567,27277742,27684530,28105889,28543366,28993989,29454739,29920907,30388781,30857242,31326473,31795515,32263559,32729740,33193920,33655149,34110912,34558114,34994818,35419683,35833965,36241578,36648054,37057453,37471535,37889443,38309475,38728778,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026
Armenia,ARM,Population,SP.POP.TOTL,1867396,1934239,2002170,2070427,2138133,2204650,2269475,2332624,2394635,2456370,2518408,2580894,2643464,2705584,2766495,2825650,2882831,2938181,2991954,3044564,3096298,3145885,3192877,3239212,3287588,3339147,3396511,3457054,3510439,3542720,3544695,3511912,3449497,3369673,3289943,3223173,3173425,3137652,3112958,3093820,3076098,3060036,3047249,3036420,3025982,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154
American Samoa,ASM,Population,SP.POP.TOTL,20012,20478,21118,21883,22701,23518,24320,25116,25886,26615,27292,27916,28490,29014,29491,29932,30325,30690,31105,31670,32456,33488,34740,36165,37687,39247,40835,42448,44049,45591,47044,48379,49597,50725,51807,52874,53926,54942,55899,56768,57522,58176,58729,59117,59262,59117,58648,57904,57031,56226,55636,55316,55227,55302,55434
Antigua and Barbuda,ATG,Population,SP.POP.TOTL,54681,55403,56311,57368,58500,59653,60818,62002,63176,64307,65369,66338,67205,67972,68655,69253,69782,70223,70508,70553,70301,69750,68950,67958,66863,65744,64605,63484,62538,61967,61906,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900
Australia,AUS,Population,SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23464086
Austria,AUT,Population,SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479375,8541575
